1,1
2711,3
2954,3
2988,1402
2989,315
2991,11
2992,303
2993,74
2994,211
2995,7
2997,15
3022,151
3030,4737
3031,4223
3032,429
3033,306
3034,61
3035,32
3036,1629
3037,524
3038,343
3039,169
3040,9
3041,1
3042,1
3043,1
3044,317
3045,17
3046,28
3047,230
3049,6
3050,13
3051,10
3052,4
3053,393
3054,293
3055,99
3057,1
3058,165
3059,26
3060,8
3062,6
3063,3
3064,12
3065,54
3066,56
3067,187
3068,4
3069,39
3070,618
3071,50
3072,38
3073,212
3074,15
3075,13
3076,48
3077,70
3078,61
3079,47
3080,24
3081,38
3082,13
3083,36
3084,15
3085,109
3086,982
3087,164
3088,153
3089,30
3090,451
3091,25
3092,145
3093,14
3094,456
3095,107
3096,58
3097,37
3098,92
3099,24
3100,36
3101,18
3102,61
3103,30
3104,14
3106,35
3107,38
3108,24
3109,13
3110,1843
3111,393
3112,297
3113,64
3114,20
3115,540
3116,89
3117,14
3118,20
3119,55
3120,164
3121,132
3122,34
3123,96
3124,444
3125,108
3126,60
3127,34
3128,92
3129,18
3130,54
3131,6
3133,48
3134,61
3135,16
3136,450
3137,74
3138,15
3139,40
3140,186
3141,100
3142,2
3143,13
3175,28
3176,17
3177,2
3188,1
3192,1
3193,6
3194,3
3196,3
3198,7
3209,1
3210,1
3223,11
3224,2
3231,9
3233,2
3234,6
3271,28
3327,28
3882,2
3917,1
3921,1
4074,33
4075,33
4110,4
4114,4
4115,4
4148,9629
4149,4696
4150,2847
4151,175
4152,912
4153,247
4154,175
4155,167
4156,159
4157,2294
4158,1073
4159,775
4160,208
4161,57
4162,34
4163,474
4164,2
4165,2
4175,2
4176,2
4185,434
4203,2
4207,1
4218,9
4228,102
4265,9635
4326,14984
4327,13469
4328,3151
4329,5836
4330,2158
4331,1417
4332,1525
4333,1134
4334,155
4335,255
4336,989
4337,932
4338,1061
4339,310
4340,347
4341,501
4342,106
4355,9766
4356,5161
4357,6628
4358,2134
4359,2237
4360,14
4361,24
4362,377
4363,76
4364,293
4365,6
4366,2048
4367,3153
4368,25
4369,1008
4370,62
4371,287
4372,6
4374,212
4375,128
4377,84
4387,9
4388,2
4389,2
4390,2
4404,104
4406,356
4407,20237
4408,19246
4409,16146
4410,5674
4411,2637
4412,2737
4413,1658
4414,2665
4415,309
4416,344
4417,47
4418,75
4422,3100
4423,873
4424,578
4425,22
4426,15
4428,1369
4429,182
4432,61
4434,1065
4435,1044
4437,15
4438,319
4439,480
4440,205
4441,25
4442,21
4443,21
4447,57
4452,43
4454,14
4456,25643
4462,9869
4463,2572
4464,1683
4465,1718
4466,1459
4467,916
4468,900
4469,437
4470,158
4471,26
4472,152281
4473,55916
4474,19704
4476,11558
4477,4533
4478,3808
4479,2698
4480,821
4481,795
4482,1174
4483,2131
4484,1481
4485,832
4486,3298
4487,1439
4488,1815
4489,1106
4490,4
4491,34
4492,129
4493,506
4494,184
4495,105
4496,3752
4497,44
4498,12
4499,2455
4500,545
4501,238
4502,28
4503,5
4504,27
4505,3115
4506,14670
4507,7354
4508,5969
4509,5184
4510,2862
4511,1541
4512,767
4513,297
4514,682
4516,337
4517,1384
4518,435
4519,193
4520,37
4521,12153
4522,5724
4523,53
4524,70
4525,336
4526,451
4527,191
4528,214
4529,139
4530,1035
4531,653
4532,2582
4533,6429
4534,49
4535,2297
4536,10
4537,213
4538,665
4539,514
4540,179
4541,125
4542,1916
4543,462
4544,84184
4545,9748
4546,20684
4547,1451
4548,13681
4549,17355
4550,3498
4551,3238
4552,2002
4553,1313
4554,6423
4555,833
4556,2266
4557,286
4558,99
4559,1220
4560,9070
4561,678
4562,15390
4563,2913
4564,2381
4565,12494
4566,1126
4567,275
4568,36
4569,12785
4570,4229
4571,341
4572,2388
4573,1109
4574,1
4575,969
4576,1734
4577,534
4578,1570
4579,432
4580,756
4581,117
4582,437
4583,2096
4584,736
4585,295
4586,842
4587,137
4588,112
4590,457
4591,461
4592,372
4593,494
4594,352
4595,1012
4596,251
4597,58
4598,91
4599,8
4600,132
4601,74
4602,80
4604,31
4605,51
4606,16
4608,204
4609,39
4611,356
4621,1737
4623,871
4625,866
4627,1
4645,11
4651,12
4652,171

